,,Demand,,,Production,,,Inventory,,,Capacity,,,,Unmet demand,,,
DC,Period,Product 1,Product 2,Product 3,Product 1,Product 2,Product 3,Product 1,Product 2,Product 3,Blend (RT),Blend (OT), Pack(RT), Pack(OT),Product 1,Product 2,Product 3
1,1,40539.0,20854.0,9502.0,40281.0,20262.999999999996,8375.999999999998,2110.0,1243.0000000000005,814.0,312695.0,0.0,137840.0,0.0,0.0,0.0,0.0,
1,2,40997.0,21562.0,11667.5,40997.0,21561.999999999996,11667.500000000004,2110.0,1243.0,814.0,341803.0,0.0,148453.00000000003,0.0,0.0,0.0,0.0,
1,3,39855.0,21925.0,9347.0,39854.99999999999,21925.0,9347.0,2109.9999999999995,1243.0000000000002,814.0,325127.0,0.0,142254.0,0.0,0.0,0.0,0.0,
1,4,38574.0,22315.0,9958.0,38574.0,22315.0,9958.0,2110.0,1243.0000000000002,814.0,325619.0,0.0,141694.00000000003,0.0,0.0,0.0,0.0,
2,1,55948.0,38245.0,16888.0,55855.00000000001,38233.0,17024.0,1649.9999999999998,1488.0,3046.0000000000005,431999.99999999994,84729.00000000006,222224.0,0.0,0.0,0.0,0.0,
2,2,55804.0,39364.0,21602.1,45804.00000000001,39364.0,21602.099999999995,1650.0,1488.0000000000002,3046.0,431999.99999999994,77648.60000000005,213540.2,0.0,0.0,0.0,0.0,
2,3,55292.0,39409.0,14462.0,55292.0,39409.0,14462.0,1650.0,1488.0000000000002,3046.0,432000.0,72985.00000000004,218326.0,0.0,0.0,0.0,0.0,
2,4,53866.0,39380.0,13666.0,53865.99999999999,39380.00000000001,13666.0,1650.0,1487.9999999999998,3046.0000000000005,432000.0,62359.99999999996,213824.0,0.0,0.0,0.0,0.0,
3,1,49559.0,27461.0,8759.4,49424.0,27396.0,8673.4,4172.0,1734.0,3014.0,386716.4,0.0,170986.8,0.0,0.0,0.0,0.0,
3,2,50155.0,27718.0,10495.0,50154.99999999999,27717.999999999996,10495.000000000002,4172.0,1734.0,3014.0,402180.0,0.0,176735.99999999997,0.0,0.0,0.0,0.0,
3,3,48959.0,26460.0,11565.0,48959.0,26460.0,11564.999999999998,4172.0,1734.0000000000002,3014.0000000000005,397526.0,0.0,173968.0,0.0,0.0,0.0,0.0,
3,4,46259.0,27059.0,13377.0,46259.0,27059.000000000004,13377.000000000002,4172.000000000001,1734.0000000000002,3014.0000000000005,400593.0,0.0,173390.0,0.0,0.0,0.0,0.0,
